,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Lot,Half bathrooms,Type_Condo,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,Cooling_None,Cooling_Other,Cooling_Refrigeration,"Cooling_Refrigerator, Central",Cooling_Wall,City
426,2008.0,447000.0,344.0,447000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
427,,525000.0,,525000.0,5.0,2.0,2.0,,0,0,0,1,0,0,1,0,0,0,0,Chicago
428,1951.0,289000.0,361.0,289000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
429,1900.0,599000.0,499.0,599000.0,12.0,7.0,7.0,,0,0,1,0,0,0,1,0,0,0,0,Chicago
430,1924.0,395000.0,304.0,395000.0,2.0,1.0,1.0,,0,1,0,0,0,0,0,0,1,0,0,Chicago
431,2019.0,499900.0,147.0,499900.0,5.0,3.0,3.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
432,1967.0,120000.0,115.0,120000.0,4.0,2.0,1.0,3149.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
433,2016.0,599999.0,317.0,599999.0,3.0,3.0,2.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
434,2005.0,369000.0,,369000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
435,2004.0,349000.0,291.0,349000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
436,2016.0,574900.0,,574900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
437,1987.0,520000.0,289.0,520000.0,2.0,3.0,2.0,,1,0,0,0,0,1,0,0,0,0,0,Chicago
438,2005.0,330000.0,114.0,330000.0,2.0,3.0,3.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
439,1912.0,329900.0,187.0,329900.0,4.0,3.0,3.0,3789.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
440,1907.0,225000.0,,225000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
441,1958.0,244900.0,226.0,244900.0,3.0,2.0,2.0,4373.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
442,2006.0,699000.0,339.0,699000.0,3.0,3.0,3.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
443,1913.0,295000.0,,295000.0,2.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
444,1969.0,259000.0,235.0,259000.0,4.0,2.0,2.0,3175.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
445,1892.0,499000.0,312.0,499000.0,3.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
446,1966.0,189900.0,271.0,189900.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,1,0,0,Chicago
447,,780000.0,,780000.0,5.0,2.0,2.0,,0,0,1,0,0,0,1,0,0,0,0,Chicago
448,1941.0,199900.0,143.0,199900.0,3.0,2.0,2.0,5292.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
449,1989.0,490000.0,384.0,490000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
450,,610000.0,424.0,610000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
451,1922.0,230000.0,,230000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
452,2008.0,214000.0,304.0,214000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
453,1920.0,339999.0,,339999.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
454,1986.0,219900.0,197.0,219900.0,2.0,2.0,2.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
