,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Address,URL,Lot
338,Single Family,1974,"Forced air, Electric",Central,4 spaces,,$338,"$650,000", 3, 2, 2,,12200-Conrad-Rd-Austin-TX-78727,https://www.zillow.com/homedetails/12200-Conrad-Rd-Austin-TX-78727/29371367_zpid/,0.51 Acres
339,Single Family,No Data,No Data,No Data,2 spaces,,$162,"$306,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/vistas-of-austin/2079142260_zpid/,No Data
340,Condo,1984,"Forced air, Electric",Central,1 space,$227/mo,$432,"$250,000", 1, 1, 1,,802-S-1st-St-APT-212-Austin-TX-78704,https://www.zillow.com/homedetails/802-S-1st-St-APT-212-Austin-TX-78704/62604616_zpid/,
341,Single Family,2020,No Data,No Data,3 spaces,,$156,"$618,990", 4, 3, 3,,https:,https://www.zillow.com/community/highpointe-80ft-lots/2081708631_zpid/,No Data
342,Condo,2002,"Forced air, Electric",Central,1 space,$290/mo,$250,"$185,000", 1, 1, 1,,2320-Gracy-Farms-Ln-APT-333-Austin-TX-78758,https://www.zillow.com/homedetails/2320-Gracy-Farms-Ln-APT-333-Austin-TX-78758/80100844_zpid/,
343,Single Family,2005,Forced air,Central,4 spaces,$179/month,$205,"$825,000", 4, 4, 3, 1,2604-Old-Hickory-Cv-Austin-TX-78732,https://www.zillow.com/homedetails/2604-Old-Hickory-Cv-Austin-TX-78732/70337453_zpid/,0.25 acres
344,Condo,2008,Forced air,Central,1 space,$235/month,$225,"$339,900", 2, 3, 2, 1,Austin-TX-78741,https://www.zillow.com/homedetails/Austin-TX-78741/2077714114_zpid/,
345,Single Family,No Data,No Data,No Data,2 spaces,,$202,"$381,995", 3, 3, 2, 1,https:,https://www.zillow.com/community/willow-trace/2079835982_zpid/,No Data
346,Single Family,1950,Forced air,Central,2 spaces,None,$485,"$445,000", 2, 1, 1,,1015-E-45th-St-Austin-TX-78751,https://www.zillow.com/homedetails/1015-E-45th-St-Austin-TX-78751/29399568_zpid/,"6,403 sqft"
347,Single Family,2020,No Data,No Data,2 spaces,,$189,"$271,990", 3, 2, 2,,https:,https://www.zillow.com/community/bradshaw-crossing-ridgepointe-and-cottage-collection/2078639648_zpid/,No Data
348,Single Family,1975,Forced air,Central,3 spaces,None,$306,"$289,000", 3, 1, 1,,3414-Plantation-Rd-Austin-TX-78745,https://www.zillow.com/homedetails/3414-Plantation-Rd-Austin-TX-78745/29498758_zpid/,"7,013 sqft"
