,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
503,Townhouse,1960,Forced air,Central,1 space,None,$286,"$285,000", 3, 2, 1,3950-W-Glenlake-Ave-UNIT-C-Chicago-IL-60659,https://www.zillow.com/homedetails/3950-W-Glenlake-Ave-UNIT-C-Chicago-IL-60659/3620008_zpid/,"1,695 sqft", 1,,,,
504,Single Family,1910,Forced air,No Data,2 spaces,,$46,"$55,000", 3, 1, 1,6811-S-Wolcott-Ave-Chicago-IL-60636,https://www.zillow.com/homedetails/6811-S-Wolcott-Ave-Chicago-IL-60636/3996655_zpid/,"3,101 sqft",,,,,
505,Single Family,1945,"Forced air, Gas",No Data,2 spaces,,$115,"$229,000", 5, 3, 3,12201-S-Harvard-Ave-Chicago-IL-60628,https://www.zillow.com/homedetails/12201-S-Harvard-Ave-Chicago-IL-60628/4157398_zpid/,"3,075 sqft",,,,,
506,Condo,1998,Forced air,Central,1 space,$600/month,$293,"$285,000", 1, 2, 1,1529-S-State-St-19H-Chicago-IL-60605,https://www.zillow.com/homedetails/1529-S-State-St-19H-Chicago-IL-60605/2145973504_zpid/,, 1,,,,
507,Condo,1911,Forced air,Central,1 space,$512/month,$259,"$284,999", 2, 2, 2,330-S-Michigan-Ave-APT-1910-Chicago-IL-60604,https://www.zillow.com/homedetails/330-S-Michigan-Ave-APT-1910-Chicago-IL-60604/60269731_zpid/,,,,,,
508,Multiple Occupancy,1912,Gas,No Data,No Data,,,"$95,000", 5, 2, 2,7736-S-Maryland-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7736-S-Maryland-Ave-Chicago-IL-60619/2137117040_zpid/,,,,,,
509,Townhouse,2006,Gas,Central,None,$74/month,$175,"$350,000", 2, 3, 2,4160-S-Drexel-Blvd-Chicago-IL-60653,https://www.zillow.com/homedetails/4160-S-Drexel-Blvd-Chicago-IL-60653/2077677082_zpid/,No Data, 1,,,,
510,Condo,2013,Forced air,Central,2 spaces,$237/month,$351,"$649,900", 3, 2, 2,1238-W-Argyle-St-APT-2-Chicago-IL-60640,https://www.zillow.com/homedetails/1238-W-Argyle-St-APT-2-Chicago-IL-60640/2077677081_zpid/,,,,,,
511,Condo,2008,"Forced air, Other",Central,1 space,$737/mo,$467,"$764,900", 2, 2, 2,1201-S-Prairie-Ave-1905-Chicago-IL-60605,https://www.zillow.com/homedetails/1201-S-Prairie-Ave-1905-Chicago-IL-60605/2143994890_zpid/,,,,,,
512,Single Family,1911,Forced air,No Data,1 space,,$128,"$299,900", 4, 2, 2,4506-N-Kimball-Ave-Chicago-IL-60625,https://www.zillow.com/homedetails/4506-N-Kimball-Ave-Chicago-IL-60625/3644845_zpid/,"4,704 sqft",,,,,
513,Single Family,2020,Forced air,Central,2 spaces,,$169,"$439,900", 5, 3, 3,533-W-46th-Pl-Chicago-IL-60609,https://www.zillow.com/homedetails/533-W-46th-Pl-Chicago-IL-60609/159007991_zpid/,"3,049 sqft",,,,,
514,Single Family,2016,Forced air,Central,2 spaces,$5/month,$240,"$1,050,000", 5, 4, 3,6082-N-Sauganash-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/6082-N-Sauganash-Ave-Chicago-IL-60646/2097701527_zpid/,No Data, 1,,,,
515,Condo,2001,"Forced air, Gas",Central,No Data,$265/mo,$219,"$219,000", 1, 1, 1,1426-W-Cullom-Ave-APT-1-Chicago-IL-60613,https://www.zillow.com/homedetails/1426-W-Cullom-Ave-APT-1-Chicago-IL-60613/65559234_zpid/,,,,,,
516,Condo,2007,"Forced air, Gas",Central,1 space,$155/mo,$350,"$595,000", 3, 2, 2,3548-N-Reta-Ave-APT-3N-Chicago-IL-60657,https://www.zillow.com/homedetails/3548-N-Reta-Ave-APT-3N-Chicago-IL-60657/2099052215_zpid/,,,,,,
517,Single Family,1917,"Forced air, Gas",Central,2 spaces,,$140,"$265,000", 4, 4, 2,8119-S-Rhodes-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/8119-S-Rhodes-Ave-Chicago-IL-60619/4018561_zpid/,"3,720 sqft", 2,,,,
518,Condo,2015,"Forced air, Gas",Central,1 space,$148/mo,$463,"$925,000", 3, 3, 3,2245-W-Armitage-Ave-2-Chicago-IL-60647,https://www.zillow.com/homedetails/2245-W-Armitage-Ave-2-Chicago-IL-60647/2100298707_zpid/,,,,,,
519,Condo,1962,Baseboard,No Data,No Data,$250/mo,,"$89,900", 1, 1, 1,2035-W-Granville-Ave-APT-209-Chicago-IL-60659,https://www.zillow.com/homedetails/2035-W-Granville-Ave-APT-209-Chicago-IL-60659/2087877903_zpid/,,,,,,
520,Condo,2003,Forced air,Central,1 space,$395/month,$235,"$305,000", 2, 1, 1,8747-W-Bryn-Mawr-Ave-APT-601-Chicago-IL-60631,https://www.zillow.com/homedetails/8747-W-Bryn-Mawr-Ave-APT-601-Chicago-IL-60631/65549659_zpid/,,,,,,
521,Condo,2002,"Forced air, Gas",Central,1 space,$722/mo,$394,"$485,000", 2, 2,,1322-S-Prairie-Ave-UNIT-1713-Chicago-IL-60605,https://www.zillow.com/homedetails/1322-S-Prairie-Ave-UNIT-1713-Chicago-IL-60605/63704728_zpid/,,,,,,
522,Condo,2008,Forced air,Central,1 space,$463/month,$267,"$319,900", 2, 2, 2,1134-W-Granville-Ave-APT-719-Chicago-IL-60660,https://www.zillow.com/homedetails/1134-W-Granville-Ave-APT-719-Chicago-IL-60660/113499351_zpid/,,,,,,
523,Condo,2004,Forced air,Central,1 space,$331/month,$267,"$399,900", 2, 2, 2,1730-N-Western-Ave-APT-203-Chicago-IL-60647,https://www.zillow.com/homedetails/1730-N-Western-Ave-APT-203-Chicago-IL-60647/70459223_zpid/,,,,,,
524,Single Family,1921,"Forced air, Gas",Central,2 spaces,,$218,"$415,000", 5, 3, 2,2416-N-Neva-Ave-Chicago-IL-60707,https://www.zillow.com/homedetails/2416-N-Neva-Ave-Chicago-IL-60707/3679740_zpid/,"5,140 sqft", 1,,,,
525,Condo,2003,Forced air,Central,1 space,$315/month,$223,"$290,000", 3, 2, 2,4428-S-Calumet-Ave-APT-3-Chicago-IL-60653,https://www.zillow.com/homedetails/4428-S-Calumet-Ave-APT-3-Chicago-IL-60653/80838453_zpid/,,,,,,
526,Single Family,1961,Gas,Central,2 spaces,,$282,"$310,000", 3, 2, 2,2505-N-Austin-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/2505-N-Austin-Ave-Chicago-IL-60639/3676981_zpid/,"3,092 sqft",,,,,
527,Condo,1926,Gas,No Data,1 space,"$1,550/month",$217,"$379,000", 3, 2, 2,5840-S-Stony-Island-Ave-APT-3F-Chicago-IL-60637,https://www.zillow.com/homedetails/5840-S-Stony-Island-Ave-APT-3F-Chicago-IL-60637/2098053694_zpid/,,,,,,
528,Single Family,1909,"Forced air, Gas",Central,4 spaces,,$138,"$275,000", 3, 3, 2,2714-E-78th-St-Chicago-IL-60649,https://www.zillow.com/homedetails/2714-E-78th-St-Chicago-IL-60649/4026055_zpid/,"3,876 sqft", 1,,,,
529,Condo,1927,Forced air,Central,1 space,"$1,133/month",$297,"$624,500", 2, 3, 2,728-W-Jackson-Blvd-APT-107-Chicago-IL-60661,https://www.zillow.com/homedetails/728-W-Jackson-Blvd-APT-107-Chicago-IL-60661/49912281_zpid/,, 1,,,,
530,Condo,2001,"Forced air, Gas",Central,2 spaces,$300/mo,$288,"$547,500", 3, 3, 2,1944-W-Diversey-Pkwy-1-Chicago-IL-60614,https://www.zillow.com/homedetails/1944-W-Diversey-Pkwy-1-Chicago-IL-60614/65546567_zpid/,, 1,,,,
531,Multi Family,1908,Forced air,No Data,No Data,,No Data,"$290,000", 5, 2, 2,928-N-Massasoit-Ave-Chicago-IL-60651,https://www.zillow.com/homedetails/928-N-Massasoit-Ave-Chicago-IL-60651/2130634152_zpid/,,,,,,
532,Condo,2004,"Forced air, Gas",Central,1 space,$665/mo,$313,"$339,000", 2, 2, 2,1841-S-Calumet-Ave-APT-709-Chicago-IL-60616,https://www.zillow.com/homedetails/1841-S-Calumet-Ave-APT-709-Chicago-IL-60616/87696388_zpid/,,,,,,
533,Condo,2007,"Forced air, Gas",Central,1 space,$190/mo,$450,"$540,000", 2, 2, 2,2401-N-Janssen-Ave-APT-406-Chicago-IL-60614,https://www.zillow.com/homedetails/2401-N-Janssen-Ave-APT-406-Chicago-IL-60614/89929352_zpid/,,,,,,
534,Single Family,1887,Forced air,Central,2 spaces,None,$262,"$849,900", 4, 4, 3,2114-W-Thomas-St-Chicago-IL-60622,https://www.zillow.com/homedetails/2114-W-Thomas-St-Chicago-IL-60622/3860262_zpid/,"2,905 sqft", 1,,,,
535,Single Family,1921,Forced air,Central,1 space,,$158,"$274,900", 6, 2, 1,4837-N-Lowell-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/4837-N-Lowell-Ave-Chicago-IL-60630/3639745_zpid/,"3,811 sqft", 1,,,,
536,Multi Family,1888,Gas,No Data,1 space,,No Data,"$1,395,000", 6, 4, 2,650-W-Wrightwood-Ave-Chicago-IL-60614,https://www.zillow.com/homedetails/650-W-Wrightwood-Ave-Chicago-IL-60614/2094919676_zpid/,, 2,,,,
537,Condo,2008,"Forced air, Gas",Central,1 space,$561/mo,$405,"$420,000", 1, 2, 1,600-N-Lake-Shore-Dr-APT-1803-Chicago-IL-60611,https://www.zillow.com/homedetails/600-N-Lake-Shore-Dr-APT-1803-Chicago-IL-60611/99346775_zpid/,, 1,,,,
538,Condo,2009,Forced air,Central,Attached Garage,$424/month,$363,"$369,900", 2, 2, 2,235-W-Van-Buren-St-UNIT-4016-Chicago-IL-60607,https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-4016-Chicago-IL-60607/159464634_zpid/,,,,,,
539,Multi Family,2020,Gas,No Data,3 spaces,,No Data,"$1,650,000", 7, 7, 6,2744-W-Cortez-St-Chicago-IL-60622,https://www.zillow.com/homedetails/2744-W-Cortez-St-Chicago-IL-60622/158674506_zpid/,, 1,,,,
540,Condo,2006,Forced air,Central,1 space,$708/month,$364,"$540,000", 2, 2, 2,1235-S-Prairie-Ave-APT-905-Chicago-IL-60605,https://www.zillow.com/homedetails/1235-S-Prairie-Ave-APT-905-Chicago-IL-60605/87714165_zpid/,,,,,,
541,Condo,2007,"Forced air, Electric, Gas",Central,1 space,$150/mo,$203,"$305,000", 2, 2, 2,3329-S-Prairie-Ave-3-Chicago-IL-60616,https://www.zillow.com/homedetails/3329-S-Prairie-Ave-3-Chicago-IL-60616/89932636_zpid/,,,,,,
542,Condo,2007,"Forced air, Gas",Central,2 spaces,$669/mo,$293,"$450,000", 3, 2, 2,5430-N-Sheridan-Rd-APT-507-Chicago-IL-60640,https://www.zillow.com/homedetails/5430-N-Sheridan-Rd-APT-507-Chicago-IL-60640/87716707_zpid/,,,,,,
543,Townhouse,2001,Forced air,Central,2 spaces,$336/month,$347,"$690,000", 3, 3, 3,1749-W-George-St-Chicago-IL-60657,https://www.zillow.com/homedetails/1749-W-George-St-Chicago-IL-60657/62011051_zpid/,"1,220 sqft",,,,,
544,Condo,2006,Electric,Central,2 spaces,"$2,259/month",$580,"$1,450,000", 3, 3, 3,1035-N-Dearborn-St-UNIT-8W-Chicago-IL-60610,https://www.zillow.com/homedetails/1035-N-Dearborn-St-UNIT-8W-Chicago-IL-60610/80819574_zpid/,,,,,,
545,Single Family,1941,Forced air,Central,1 space,None,$191,"$765,000", 5, 4, 3,5915-N-Forest-Glen-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/5915-N-Forest-Glen-Ave-Chicago-IL-60646/3622974_zpid/,"4,961 sqft", 1,,,,
546,Multiple Occupancy,1911,"None, Radiant",No Data,3 spaces,,,"$315,000", 12, 3, 3,7551-S-Champlain-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7551-S-Champlain-Ave-Chicago-IL-60619/2101145058_zpid/,,,,,,
547,Multiple Occupancy,1921,Gas,Central,3 spaces,,$382,"$419,900", 5, 3, 3,5723-N-Austin-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/5723-N-Austin-Ave-Chicago-IL-60646/3626817_zpid/,,,,,,
548,Condo,1969,Forced air,No Data,1 space,$581/month,$378,"$319,000", 1, 1, 1,175-E-Delaware-Pl-APT-8112-Chicago-IL-60611,https://www.zillow.com/homedetails/175-E-Delaware-Pl-APT-8112-Chicago-IL-60611/3850462_zpid/,,,,,,
549,Single Family,1961,Gas,Central,2 spaces,,$248,"$289,500", 5, 3, 2,5731-S-Normandy-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5731-S-Normandy-Ave-Chicago-IL-60638/3945257_zpid/,"3,528 sqft", 1,,,,
550,Single Family,1952,Forced air,No Data,2 spaces,None,$52,"$50,000", 2, 2, 1,9910-S-Normal-Ave-Chicago-IL-60628,https://www.zillow.com/homedetails/9910-S-Normal-Ave-Chicago-IL-60628/4131408_zpid/,"3,484 sqft", 1,,,,
551,Condo,1997,Forced air,Central,1 space,$672/mo,$364,"$315,000", 1, 2, 1,600-N-Dearborn-St-APT-1609-Chicago-IL-60654,https://www.zillow.com/homedetails/600-N-Dearborn-St-APT-1609-Chicago-IL-60654/63700387_zpid/,, 1,,,,
552,Condo,2003,"Forced air, Gas",Central,No Data,"$1,221/mo",$363,"$475,000", 2, 2, 2,545-N-Dearborn-St-3605-Chicago-IL-60654,https://www.zillow.com/homedetails/545-N-Dearborn-St-3605-Chicago-IL-60654/2080172630_zpid/,,,,,,
553,Condo,1915,"Forced air, Gas",Central,1 space,$957/mo,$279,"$380,000", 2, 2, 2,40-E-9th-St-APT-1708-Chicago-IL-60605,https://www.zillow.com/homedetails/40-E-9th-St-APT-1708-Chicago-IL-60605/70471644_zpid/,,,,,,
554,Townhouse,1996,Gas,Central,1 space,$170/month,$208,"$229,900", 2, 2, 1,10453-S-Kedzie-Ave-APT-C-Chicago-IL-60655,https://www.zillow.com/homedetails/10453-S-Kedzie-Ave-APT-C-Chicago-IL-60655/4078353_zpid/,238 sqft, 1,,,,
555,Condo,1920,"Forced air, Gas",Central,1 space,$396/mo,$294,"$250,000", 1, 1, 1,2024-S-Wabash-Ave-APT-505-Chicago-IL-60616,https://www.zillow.com/homedetails/2024-S-Wabash-Ave-APT-505-Chicago-IL-60616/60204366_zpid/,,,,,,
556,Single Family,1952,Gas,Central,1 space,,,"$135,800", 4, 2, 2,8015-S-Artesian-Ave-Chicago-IL-60652,https://www.zillow.com/homedetails/8015-S-Artesian-Ave-Chicago-IL-60652/3978429_zpid/,"3,750 sqft",,,,,
557,Condo,1962,"Baseboard, Gas",No Data,2 spaces,$182/mo,$160,"$79,900", 1, 1, 1,6137-W-Thorndale-Ave-2B-Chicago-IL-60646,https://www.zillow.com/homedetails/6137-W-Thorndale-Ave-2B-Chicago-IL-60646/65557570_zpid/,,,,,,
558,Condo,1977,Forced air,Central,1 space,$285/month,$211,"$190,000", 2, 2, 2,1629-W-Greenleaf-Ave-APT-307-Chicago-IL-60626,https://www.zillow.com/homedetails/1629-W-Greenleaf-Ave-APT-307-Chicago-IL-60626/3572445_zpid/,,,,,,
559,Condo,1910,Radiant,Wall,1 space,$590/mo,$196,"$259,900", 2, 2, 2,429-W-Wellington-Ave-APT-1C-Chicago-IL-60657,https://www.zillow.com/homedetails/429-W-Wellington-Ave-APT-1C-Chicago-IL-60657/3720722_zpid/,,,,,,
560,Single Family,1946,Gas,Central,2 spaces,,$396,"$379,900", 3, 3, 1,5123-N-Nashville-Ave-Chicago-IL-60656,https://www.zillow.com/homedetails/5123-N-Nashville-Ave-Chicago-IL-60656/3632114_zpid/,"4,774 sqft", 2,,,,
561,Single Family,1925,Forced air,Central,2 spaces,,$205,"$315,000", 4, 3, 3,3339-N-Octavia-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/3339-N-Octavia-Ave-Chicago-IL-60634/3599996_zpid/,"3,720 sqft",,,,,
562,Single Family,1959,"Forced air, Gas",Central,2 spaces,,$214,"$419,000", 3, 2, 2,5343-N-Moody-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/5343-N-Moody-Ave-Chicago-IL-60630/3633310_zpid/,"4,380 sqft",,,,,
563,Condo,1930,No Data,No Data,No Data,No Data,$156,"$261,500", 3, 2,,1127-W-Farwell-Ave-101201-Chicago-IL-60626,https://www.zillow.com/homedetails/1127-W-Farwell-Ave-101201-Chicago-IL-60626/2077683727_zpid/,,,,,,
564,Condo,2003,Gas,Central,None,$248/month,$245,"$245,000", 2, 1, 1,4845-N-Wolcott-Ave-APT-2E-Chicago-IL-60640,https://www.zillow.com/homedetails/4845-N-Wolcott-Ave-APT-2E-Chicago-IL-60640/80844592_zpid/,,,,,,
565,Condo,1920,Forced air,Central,1 space,$574/month,$280,"$490,000", 3, 2, 2,1000-W-15th-St-UNIT-339-Chicago-IL-60608,https://www.zillow.com/homedetails/1000-W-15th-St-UNIT-339-Chicago-IL-60608/2077683877_zpid/,,,,,,
566,Condo,1960,Baseboard,Other,1 space,$678/mo,$173,"$129,900", 1, 1, 1,3900-N-Lake-Shore-Dr-APT-10G-Chicago-IL-60613,https://www.zillow.com/homedetails/3900-N-Lake-Shore-Dr-APT-10G-Chicago-IL-60613/3714101_zpid/,,,,,,
567,Condo,1999,"Forced air, Gas",Central,1 space,$462/mo,$408,"$490,000", 2, 2, 2,14-N-Sangamon-St-APT-207-Chicago-IL-60607,https://www.zillow.com/homedetails/14-N-Sangamon-St-APT-207-Chicago-IL-60607/61960783_zpid/,,,,,,
568,Condo,2003,"Other, Gas",Central,1 space,$861/mo,$334,"$430,000", 2, 2, 2,1515-S-Prairie-Ave-UNIT-1008-Chicago-IL-60605,https://www.zillow.com/homedetails/1515-S-Prairie-Ave-UNIT-1008-Chicago-IL-60605/65572911_zpid/,,,,,,
569,Condo,2012,"Forced air, Gas",Central,No Data,$316/mo,$299,"$299,000", 2, 2, 2,4442-N-Damen-Ave-APT-2W-Chicago-IL-60625,https://www.zillow.com/homedetails/4442-N-Damen-Ave-APT-2W-Chicago-IL-60625/89894513_zpid/,,,,,,
570,Condo,1925,"Forced air, Gas",Central,No Data,$256/mo,,"$245,000", 2, 1, 1,1636-W-Melrose-St-APT-405-Chicago-IL-60657,https://www.zillow.com/homedetails/1636-W-Melrose-St-APT-405-Chicago-IL-60657/60263541_zpid/,,,,,,
571,Condo,1962,Other,Wall,1 space,$566/mo,$146,"$132,500", 1, 1, 1,4250-N-Marine-Dr-APT-429-Chicago-IL-60613,https://www.zillow.com/homedetails/4250-N-Marine-Dr-APT-429-Chicago-IL-60613/3703903_zpid/,,,,,,
572,Condo,2008,Forced air,Central,1 space,$698/month,$453,"$579,900", 2, 2, 2,757-N-Orleans-St-APT-1907-Chicago-IL-60654,https://www.zillow.com/homedetails/757-N-Orleans-St-APT-1907-Chicago-IL-60654/121076627_zpid/,,,,,,
573,Condo,1940,"Forced air, Gas",Central,1 space,$318/mo,$269,"$214,900", 1, 1, 1,4909-N-Wolcott-Ave-APT-2A-Chicago-IL-60640,https://www.zillow.com/homedetails/4909-N-Wolcott-Ave-APT-2A-Chicago-IL-60640/60262404_zpid/,,,,,,
574,Condo,1969,"Forced air, Gas",Central,1 space,$375/mo,$200,"$109,900", 0, 1, 1,720-W-Gordon-Ter-APT-7G-Chicago-IL-60613,https://www.zillow.com/homedetails/720-W-Gordon-Ter-APT-7G-Chicago-IL-60613/3704437_zpid/,,,,,,
575,Single Family,2020,Forced air,Central,Attached Garage,,"$1,600,000","$1,600,000", 4, 4, 3,https:,https://www.zillow.com/community/peoria-green/2079595592_zpid/,No Data, 1,,,,
576,Single Family,1960,Forced air,Central,2 spaces,None,$389,"$389,000", 4, 2, 2,5131-N-Lotus-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/5131-N-Lotus-Ave-Chicago-IL-60630/3637345_zpid/,"3,123 sqft",,,,,
577,Condo,1966,"Baseboard, Gas",No Data,1 space,$230/mo,$153,"$184,000", 2, 1, 1,7565-W-Pratt-Ave-APT-3-Chicago-IL-60631,https://www.zillow.com/homedetails/7565-W-Pratt-Ave-APT-3-Chicago-IL-60631/3512271_zpid/,,,,,,
578,Condo,1957,No Data,No Data,1 space,$437/month,$242,"$145,000", 0, 1, 1,253-E-Delaware-Pl-APT-10B-Chicago-IL-60611,https://www.zillow.com/homedetails/253-E-Delaware-Pl-APT-10B-Chicago-IL-60611/3851086_zpid/,,,,,,
579,Single Family,1900,"Baseboard, Forced air",Central,2 spaces,None,$344,"$859,000", 4, 3, 3,1626-N-Bell-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/1626-N-Bell-Ave-Chicago-IL-60647/3733664_zpid/,"3,123 sqft",,,,,
580,Condo,2007,"Forced air, Gas",Central,No Data,$494/mo,$326,"$359,000", 2, 2, 2,1720-S-Michigan-Ave-APT-2410-Chicago-IL-60616,https://www.zillow.com/homedetails/1720-S-Michigan-Ave-APT-2410-Chicago-IL-60616/89929522_zpid/,,,,,,
581,Condo,2006,Gas,Central,1 space,$382/mo,$235,"$399,000", 3, 2, 2,1920-N-Springfield-Ave-APT-4S-Chicago-IL-60647,https://www.zillow.com/homedetails/1920-N-Springfield-Ave-APT-4S-Chicago-IL-60647/101218765_zpid/,,,,,,
582,Condo,2006,Forced air,Central,1 space,$234/month,$271,"$649,900", 3, 3, 2,1446-N-Wood-St-APT-1S-Chicago-IL-60622,https://www.zillow.com/homedetails/1446-N-Wood-St-APT-1S-Chicago-IL-60622/87725496_zpid/,, 1,,,,
583,Condo,2005,"Forced air, Gas",Central,1 space,$451/mo,$344,"$275,000", 1, 1, 1,1250-S-Michigan-Ave-APT-1403-Chicago-IL-60605,https://www.zillow.com/homedetails/1250-S-Michigan-Ave-APT-1403-Chicago-IL-60605/80817204_zpid/,,,,,,
584,Condo,2000,Gas,Central,1 space,$327/month,No Data,"$274,900", 1, 1, 1,1430-S-Michigan-Ave-PENTHOUSE-4-Chicago-IL-60605,https://www.zillow.com/homedetails/1430-S-Michigan-Ave-PENTHOUSE-4-Chicago-IL-60605/2077686321_zpid/,,,,,,
585,Condo,No Data,"Electric, Gas",Central,1 space,$252/month,No Data,"$899,000", 3, 2, 2,1414-W-Division-St-3-Chicago-IL-60642,https://www.zillow.com/homedetails/1414-W-Division-St-3-Chicago-IL-60642/2077687071_zpid/,,,,,,
586,Townhouse,1998,"Forced air, Gas",Central,2 spaces,,$239,"$525,000", 4, 2, 2,1812-S-State-St-UNIT-12C-Chicago-IL-60616,https://www.zillow.com/homedetails/1812-S-State-St-UNIT-12C-Chicago-IL-60616/54539769_zpid/,0.86 Acres,,,,,
587,Condo,2006,"Forced air, Gas",Central,1 space,$264/mo,$179,"$185,000", 1, 1, 1,2231-W-Maypole-Ave-UNIT-102-Chicago-IL-60612,https://www.zillow.com/homedetails/2231-W-Maypole-Ave-UNIT-102-Chicago-IL-60612/121067648_zpid/,,,,,,
588,Multi Family,1908,No Data,No Data,2 spaces,,No Data,"$40,000", 4, 2, 2,1038-W-103rd-St-Chicago-IL-60643,https://www.zillow.com/homedetails/1038-W-103rd-St-Chicago-IL-60643/2077687447_zpid/,,,,,,
589,Condo,1914,Forced air,Central,1 space,$265/month,$231,"$415,000", 3, 2, 2,4429-N-Beacon-St-1N-Chicago-IL-60640,https://www.zillow.com/homedetails/4429-N-Beacon-St-1N-Chicago-IL-60640/3705693_zpid/,,,,,,
590,Condo,1961,"Forced air, Gas",Wall,1 space,$609/mo,$147,"$139,900", 1, 1, 1,5740-N-Sheridan-Rd-APT-10B-Chicago-IL-60660,https://www.zillow.com/homedetails/5740-N-Sheridan-Rd-APT-10B-Chicago-IL-60660/3694416_zpid/,,,,,,
591,Multi Family,1900,Gas,No Data,4 spaces,,No Data,"$89,900", 4, 2, 2,6942-S-Harvard-Ave-Chicago-IL-60621,https://www.zillow.com/homedetails/6942-S-Harvard-Ave-Chicago-IL-60621/2088810826_zpid/,,,,,,
592,Single Family,1885,Gas,No Data,None,None,$80,"$359,000", 6, 5, 5,4446-S-Prairie-Ave-Chicago-IL-60653,https://www.zillow.com/homedetails/4446-S-Prairie-Ave-Chicago-IL-60653/2077689427_zpid/,"2,700 sqft",,,,,
593,Condo,1913,Forced air,Central,None,$327/month,$245,"$270,000", 3, 2, 2,3019-W-Cullom-Ave-1-Chicago-IL-60618,https://www.zillow.com/homedetails/3019-W-Cullom-Ave-1-Chicago-IL-60618/65557857_zpid/,,,,,,
594,Single Family,1927,No Data,No Data,2 spaces,,$297,"$385,000", 4, 3, 3,5537-N-Saint-Louis-Ave-Chicago-IL-60625,https://www.zillow.com/homedetails/5537-N-Saint-Louis-Ave-Chicago-IL-60625/3639845_zpid/,"3,702 sqft",,,,,
595,Single Family,1951,Gas,No Data,2 spaces,,$61,"$65,900", 2, 1, 1,12739-S-Sangamon-St-Chicago-IL-60643,https://www.zillow.com/homedetails/12739-S-Sangamon-St-Chicago-IL-60643/4163789_zpid/,"4,305 sqft",,,,,
596,Condo,1970,Gas,No Data,1 space,$265/mo,$108,"$108,000", 2, 1, 1,3816-W-47th-St-APT-1M-Chicago-IL-60632,https://www.zillow.com/homedetails/3816-W-47th-St-APT-1M-Chicago-IL-60632/2077689454_zpid/,,,,,,
597,Multi Family,1927,Gas,No Data,2 spaces,,No Data,"$410,000", 5, 3, 3,2453-N-Tripp-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/2453-N-Tripp-Ave-Chicago-IL-60639/2121096699_zpid/,,,,,,
598,Single Family,1918,Gas,No Data,2 spaces,,$240,"$324,500", 4, 1, 1,5519-W-Giddings-St-Chicago-IL-60630,https://www.zillow.com/homedetails/5519-W-Giddings-St-Chicago-IL-60630/3648088_zpid/,"4,125 sqft",,,,,
599,Single Family,2005,Forced air,Central,2 spaces,None,$171,"$548,000", 4, 4, 3,426-W-42nd-Pl-Chicago-IL-60609,https://www.zillow.com/homedetails/426-W-42nd-Pl-Chicago-IL-60609/87717250_zpid/,"4,743 sqft", 1,,,,
600,Condo,2018,"Forced air, Gas",Central,2 spaces,$280/mo,,"$650,000", 3, 3, 2,1310-N-Cleveland-Ave-1N-Chicago-IL-60610,https://www.zillow.com/homedetails/1310-N-Cleveland-Ave-1N-Chicago-IL-60610/2077689467_zpid/,, 1,,,,
601,Single Family,1957,Forced air,No Data,2 spaces,,$131,"$279,999", 4, 2, 2,3930-W-67th-Pl-Chicago-IL-60629,https://www.zillow.com/homedetails/3930-W-67th-Pl-Chicago-IL-60629/3953874_zpid/,"4,125 sqft",,,,,
602,Single Family,1968,Gas,Central,2 spaces,None,$76,"$69,900", 3, 1, 1,Chicago-IL-60643,https://www.zillow.com/homedetails/Chicago-IL-60643/2122633099_zpid/,"3,123 sqft",,,,,
603,Single Family,1947,Forced air,Central,1 space,None,$150,"$224,900", 4, 2, 2,7131-S-Homan-Ave-Chicago-IL-60629,https://www.zillow.com/homedetails/7131-S-Homan-Ave-Chicago-IL-60629/3958648_zpid/,"3,781 sqft",,,,,
604,Single Family,2012,Forced air,Central,2 spaces,None,$207,"$1,200,000", 6, 5, 4,3942-N-Lowell-Ave-Chicago-IL-60641,https://www.zillow.com/homedetails/3942-N-Lowell-Ave-Chicago-IL-60641/3664945_zpid/,"7,200 sqft", 1,,,,
605,Multi Family,1913,Gas,No Data,2 spaces,,$60,"$149,000", 7, 3, 3,167-N-Lavergne-Ave-Chicago-IL-60644,https://www.zillow.com/homedetails/167-N-Lavergne-Ave-Chicago-IL-60644/2082087690_zpid/,,,,,,
