,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Lot,Type_Condo,Type_Mobile / Manufactured,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,"Cooling_Central, Evaporative","Cooling_Central, Wall",Cooling_Evaporative,Cooling_None,Cooling_Other,Cooling_Wall,City
465,2020.0,303990.0,223.0,303990.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
466,2020.0,319990.0,156.0,319990.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
467,2020.0,1230000.0,376.0,1230000.0,3.0,4.0,3.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
468,2020.0,535990.0,209.0,535990.0,4.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
469,2007.0,750000.0,329.0,750000.0,4.0,3.0,2.0,1,3310.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
470,2020.0,425400.0,204.0,425400.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
471,,625990.0,193.0,625990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
472,2020.0,675000.0,361.0,675000.0,2.0,3.0,2.0,1,11761.2,0,0,0,0,1,0,0,0,0,0,0,0,Austin
473,1977.0,404290.0,256.0,404290.0,3.0,2.0,2.0,0,7405.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
474,1953.0,715000.0,302.0,715000.0,3.0,2.0,2.0,0,6534.0,0,0,0,0,1,0,0,0,0,1,0,0,Austin
475,2020.0,700000.0,389.0,700000.0,3.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
476,2020.0,412990.0,230.0,412990.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
477,1955.0,380000.0,237.0,380000.0,4.0,2.0,2.0,0,7056.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
478,2020.0,568990.0,195.0,568990.0,4.0,4.0,3.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
479,2002.0,227500.0,191.0,227500.0,3.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
480,2020.0,388990.0,192.0,388990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
481,1993.0,345000.0,348.0,345000.0,2.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
482,1990.0,432500.0,197.0,432500.0,3.0,3.0,2.0,1,5619.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
483,1950.0,900000.0,915.0,900000.0,2.0,1.0,1.0,0,6229.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
484,2001.0,325000.0,131.0,325000.0,3.0,3.0,2.0,1,10236.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
485,2020.0,589000.0,335.0,589000.0,2.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
486,2016.0,659000.0,355.0,659000.0,2.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
