,Type,Year built,Heating,Cooling,Parking,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,HOA,Lot,Price/sqft,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
491,Condo,2003,Forced air,Central,1 space,"$290,000", 3, 2, 2,4428-S-Calumet-Ave-APT-3-Chicago-IL-60653,https://www.zillow.com/homedetails/4428-S-Calumet-Ave-APT-3-Chicago-IL-60653/80838453_zpid/,$315/month,,$223,,,,,
492,Single Family,1961,Gas,Central,2 spaces,"$310,000", 3, 2, 2,2505-N-Austin-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/2505-N-Austin-Ave-Chicago-IL-60639/3676981_zpid/,,"3,092 sqft",$282,,,,,
493,Condo,1926,Gas,No Data,1 space,"$379,000", 3, 2, 2,5840-S-Stony-Island-Ave-APT-3F-Chicago-IL-60637,https://www.zillow.com/homedetails/5840-S-Stony-Island-Ave-APT-3F-Chicago-IL-60637/2098053694_zpid/,"$1,550/month",,$217,,,,,
494,Single Family,1909,"Forced air, Gas",Central,4 spaces,"$275,000", 3, 3, 2,2714-E-78th-St-Chicago-IL-60649,https://www.zillow.com/homedetails/2714-E-78th-St-Chicago-IL-60649/4026055_zpid/,,"3,876 sqft",$138, 1,,,,
495,Condo,1927,Forced air,Central,1 space,"$624,500", 2, 3, 2,728-W-Jackson-Blvd-APT-107-Chicago-IL-60661,https://www.zillow.com/homedetails/728-W-Jackson-Blvd-APT-107-Chicago-IL-60661/49912281_zpid/,"$1,133/month",,$297, 1,,,,
496,Condo,2001,"Forced air, Gas",Central,2 spaces,"$547,500", 3, 3, 2,1944-W-Diversey-Pkwy-1-Chicago-IL-60614,https://www.zillow.com/homedetails/1944-W-Diversey-Pkwy-1-Chicago-IL-60614/65546567_zpid/,$300/mo,,$288, 1,,,,
497,Multi Family,1908,Forced air,No Data,No Data,"$290,000", 5, 2, 2,928-N-Massasoit-Ave-Chicago-IL-60651,https://www.zillow.com/homedetails/928-N-Massasoit-Ave-Chicago-IL-60651/2130634152_zpid/,,,No Data,,,,,
498,Condo,2004,Forced air,Central,1 space,"$339,000", 2, 2, 2,1841-S-Calumet-Ave-APT-709-Chicago-IL-60616,https://www.zillow.com/homedetails/1841-S-Calumet-Ave-APT-709-Chicago-IL-60616/87696388_zpid/,$665/month,,$313,,,,,
499,Condo,2007,"Forced air, Gas",Central,1 space,"$540,000", 2, 2, 2,2401-N-Janssen-Ave-APT-406-Chicago-IL-60614,https://www.zillow.com/homedetails/2401-N-Janssen-Ave-APT-406-Chicago-IL-60614/89929352_zpid/,$190/mo,,$450,,,,,
500,Single Family,1887,"Forced air, Gas",Central,2 spaces,"$849,900", 4, 4, 3,2114-W-Thomas-St-Chicago-IL-60622,https://www.zillow.com/homedetails/2114-W-Thomas-St-Chicago-IL-60622/3860262_zpid/,,"2,905 sqft",$262, 1,,,,
501,Single Family,1921,"Forced air, Gas",Central,1 space,"$274,900", 6, 2, 1,4837-N-Lowell-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/4837-N-Lowell-Ave-Chicago-IL-60630/3639745_zpid/,,"3,811 sqft",$158, 1,,,,
502,Multiple Occupancy,1888,Gas,No Data,1 space,"$1,395,000", 6, 4, 2,650-W-Wrightwood-Ave-Chicago-IL-60614,https://www.zillow.com/homedetails/650-W-Wrightwood-Ave-Chicago-IL-60614/2094919676_zpid/,,,, 2,,,,
503,Condo,2008,"Forced air, Gas",Central,1 space,"$420,000", 1, 2, 1,600-N-Lake-Shore-Dr-APT-1803-Chicago-IL-60611,https://www.zillow.com/homedetails/600-N-Lake-Shore-Dr-APT-1803-Chicago-IL-60611/99346775_zpid/,$561/mo,,$405, 1,,,,
504,Condo,2009,Forced air,Central,Attached Garage,"$369,900", 2, 2, 2,235-W-Van-Buren-St-UNIT-4016-Chicago-IL-60607,https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-4016-Chicago-IL-60607/159464634_zpid/,$424/month,,$363,,,,,
505,Multi Family,2020,Gas,No Data,3 spaces,"$1,650,000", 7, 7, 6,2744-W-Cortez-St-Chicago-IL-60622,https://www.zillow.com/homedetails/2744-W-Cortez-St-Chicago-IL-60622/158674506_zpid/,,,No Data, 1,,,,
506,Condo,2006,Forced air,Central,1 space,"$540,000", 2, 2, 2,1235-S-Prairie-Ave-APT-905-Chicago-IL-60605,https://www.zillow.com/homedetails/1235-S-Prairie-Ave-APT-905-Chicago-IL-60605/87714165_zpid/,$708/month,,$364,,,,,
507,Condo,2006,Forced air,Central,1 space,"$540,000", 2, 2, 2,1235-S-Prairie-Ave-APT-905-Chicago-IL-60605,https://www.zillow.com/homedetails/1235-S-Prairie-Ave-APT-905-Chicago-IL-60605/87714165_zpid/,$708/month,,$364,,,,,
508,Condo,2007,"Forced air, Gas",Central,2 spaces,"$450,000", 3, 2, 2,5430-N-Sheridan-Rd-APT-507-Chicago-IL-60640,https://www.zillow.com/homedetails/5430-N-Sheridan-Rd-APT-507-Chicago-IL-60640/87716707_zpid/,$669/mo,,$293,,,,,
509,Townhouse,2001,Forced air,Central,2 spaces,"$690,000", 3, 3, 3,1749-W-George-St-Chicago-IL-60657,https://www.zillow.com/homedetails/1749-W-George-St-Chicago-IL-60657/62011051_zpid/,$336/month,"1,220 sqft",$347,,,,,
510,Condo,2006,Electric,Central,2 spaces,"$1,450,000", 3, 3, 3,1035-N-Dearborn-St-UNIT-8W-Chicago-IL-60610,https://www.zillow.com/homedetails/1035-N-Dearborn-St-UNIT-8W-Chicago-IL-60610/80819574_zpid/,"$2,259/month",,$580,,,,,
511,Single Family,1941,Forced air,Central,1 space,"$765,000", 5, 4, 3,5915-N-Forest-Glen-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/5915-N-Forest-Glen-Ave-Chicago-IL-60646/3622974_zpid/,None,"4,961 sqft",$191, 1,,,,
512,Multiple Occupancy,1911,"None, Radiant",No Data,3 spaces,"$315,000", 12, 3, 3,7551-S-Champlain-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7551-S-Champlain-Ave-Chicago-IL-60619/2101145058_zpid/,,,,,,,,
513,Multiple Occupancy,1921,Gas,Central,3 spaces,"$419,900", 5, 3, 3,5723-N-Austin-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/5723-N-Austin-Ave-Chicago-IL-60646/3626817_zpid/,,,$382,,,,,
514,Condo,1969,Forced air,No Data,1 space,"$319,000", 1, 1, 1,175-E-Delaware-Pl-APT-8112-Chicago-IL-60611,https://www.zillow.com/homedetails/175-E-Delaware-Pl-APT-8112-Chicago-IL-60611/3850462_zpid/,$581/month,,$378,,,,,
515,Condo,1915,"Forced air, Gas",Central,1 space,"$380,000", 2, 2, 2,40-E-9th-St-APT-1708-Chicago-IL-60605,https://www.zillow.com/homedetails/40-E-9th-St-APT-1708-Chicago-IL-60605/70471644_zpid/,$957/mo,,$279,,,,,
516,Single Family,1961,Gas,Central,2 spaces,"$289,500", 5, 3, 2,5731-S-Normandy-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5731-S-Normandy-Ave-Chicago-IL-60638/3945257_zpid/,,"3,528 sqft",$248, 1,,,,
517,Single Family,1952,Forced air,No Data,2 spaces,"$50,000", 2, 2, 1,9910-S-Normal-Ave-Chicago-IL-60628,https://www.zillow.com/homedetails/9910-S-Normal-Ave-Chicago-IL-60628/4131408_zpid/,,"3,484 sqft",$52, 1,,,,
518,Condo,2003,Forced air,Central,Attached Garage,"$475,000", 2, 2, 2,545-N-Dearborn-St-3605-Chicago-IL-60654,https://www.zillow.com/homedetails/545-N-Dearborn-St-3605-Chicago-IL-60654/2080172630_zpid/,"$1,221/month",,$363,,,,,
519,Condo,1997,Forced air,Central,1 space,"$315,000", 1, 2, 1,600-N-Dearborn-St-APT-1609-Chicago-IL-60654,https://www.zillow.com/homedetails/600-N-Dearborn-St-APT-1609-Chicago-IL-60654/63700387_zpid/,$672/month,,$364, 1,,,,
520,Townhouse,1996,Gas,Central,1 space,"$229,900", 2, 2, 1,10453-S-Kedzie-Ave-APT-C-Chicago-IL-60655,https://www.zillow.com/homedetails/10453-S-Kedzie-Ave-APT-C-Chicago-IL-60655/4078353_zpid/,,238 sqft,$208, 1,,,,
521,Single Family,1952,Gas,Central,1 space,"$135,800", 4, 2, 2,8015-S-Artesian-Ave-Chicago-IL-60652,https://www.zillow.com/homedetails/8015-S-Artesian-Ave-Chicago-IL-60652/3978429_zpid/,,"3,750 sqft",,,,,,
522,Condo,1920,"Forced air, Gas",Central,1 space,"$250,000", 1, 1, 1,2024-S-Wabash-Ave-APT-505-Chicago-IL-60616,https://www.zillow.com/homedetails/2024-S-Wabash-Ave-APT-505-Chicago-IL-60616/60204366_zpid/,$396/mo,,$294,,,,,
523,Condo,1962,Baseboard,No Data,2 spaces,"$79,900", 1, 1, 1,6137-W-Thorndale-Ave-2B-Chicago-IL-60646,https://www.zillow.com/homedetails/6137-W-Thorndale-Ave-2B-Chicago-IL-60646/65557570_zpid/,$182/month,,$160,,,,,
524,Condo,1977,Forced air,Central,1 space,"$190,000", 2, 2, 2,1629-W-Greenleaf-Ave-APT-307-Chicago-IL-60626,https://www.zillow.com/homedetails/1629-W-Greenleaf-Ave-APT-307-Chicago-IL-60626/3572445_zpid/,$285/month,,$211,,,,,
525,Condo,1910,Radiant,Wall,1 space,"$259,900", 2, 2, 2,429-W-Wellington-Ave-APT-1C-Chicago-IL-60657,https://www.zillow.com/homedetails/429-W-Wellington-Ave-APT-1C-Chicago-IL-60657/3720722_zpid/,$590/month,,$196,,,,,
526,Single Family,1946,Gas,Central,2 spaces,"$379,900", 3, 3, 1,5123-N-Nashville-Ave-Chicago-IL-60656,https://www.zillow.com/homedetails/5123-N-Nashville-Ave-Chicago-IL-60656/3632114_zpid/,,"4,774 sqft",$396, 2,,,,
527,Single Family,1959,"Forced air, Gas",Central,2 spaces,"$419,000", 3, 2, 2,5343-N-Moody-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/5343-N-Moody-Ave-Chicago-IL-60630/3633310_zpid/,,"4,380 sqft",$214,,,,,
528,Single Family,1925,"Forced air, Gas",Central,2 spaces,"$315,000", 4, 3, 3,3339-N-Octavia-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/3339-N-Octavia-Ave-Chicago-IL-60634/3599996_zpid/,,"3,720 sqft",$205,,,,,
529,Condo,1930,No Data,No Data,No Data,"$261,500", 3, 2,,1127-W-Farwell-Ave-101201-Chicago-IL-60626,https://www.zillow.com/homedetails/1127-W-Farwell-Ave-101201-Chicago-IL-60626/2077683727_zpid/,No Data,,$156,,,,,
530,Condo,2003,Gas,Central,None,"$245,000", 2, 1, 1,4845-N-Wolcott-Ave-APT-2E-Chicago-IL-60640,https://www.zillow.com/homedetails/4845-N-Wolcott-Ave-APT-2E-Chicago-IL-60640/80844592_zpid/,$248/month,,$245,,,,,
531,Condo,1920,Forced air,Central,1 space,"$490,000", 3, 2, 2,1000-W-15th-St-UNIT-339-Chicago-IL-60608,https://www.zillow.com/homedetails/1000-W-15th-St-UNIT-339-Chicago-IL-60608/2077683877_zpid/,$574/month,,$280,,,,,
532,Condo,1960,Baseboard,Other,1 space,"$129,900", 1, 1, 1,3900-N-Lake-Shore-Dr-APT-10G-Chicago-IL-60613,https://www.zillow.com/homedetails/3900-N-Lake-Shore-Dr-APT-10G-Chicago-IL-60613/3714101_zpid/,$678/mo,,$173,,,,,
533,Condo,1999,"Forced air, Gas",Central,1 space,"$490,000", 2, 2, 2,14-N-Sangamon-St-APT-207-Chicago-IL-60607,https://www.zillow.com/homedetails/14-N-Sangamon-St-APT-207-Chicago-IL-60607/61960783_zpid/,$462/mo,,$408,,,,,
534,Condo,2003,Other,Central,1 space,"$430,000", 2, 2, 2,1515-S-Prairie-Ave-UNIT-1008-Chicago-IL-60605,https://www.zillow.com/homedetails/1515-S-Prairie-Ave-UNIT-1008-Chicago-IL-60605/65572911_zpid/,$861/month,,$334,,,,,
535,Condo,1925,Forced air,Central,None,"$245,000", 2, 1, 1,1636-W-Melrose-St-APT-405-Chicago-IL-60657,https://www.zillow.com/homedetails/1636-W-Melrose-St-APT-405-Chicago-IL-60657/60263541_zpid/,$256/month,,No Data,,,,,
536,Condo,2012,Forced air,Central,None,"$299,000", 2, 2, 2,4442-N-Damen-Ave-APT-2W-Chicago-IL-60625,https://www.zillow.com/homedetails/4442-N-Damen-Ave-APT-2W-Chicago-IL-60625/89894513_zpid/,$316/month,,$299,,,,,
537,Condo,1962,Other,Wall,1 space,"$132,500", 1, 1, 1,4250-N-Marine-Dr-APT-429-Chicago-IL-60613,https://www.zillow.com/homedetails/4250-N-Marine-Dr-APT-429-Chicago-IL-60613/3703903_zpid/,$566/month,,$146,,,,,
538,Condo,2008,Forced air,Central,1 space,"$579,900", 2, 2, 2,757-N-Orleans-St-APT-1907-Chicago-IL-60654,https://www.zillow.com/homedetails/757-N-Orleans-St-APT-1907-Chicago-IL-60654/121076627_zpid/,$698/month,,$453,,,,,
539,Condo,1940,"Forced air, Gas",Central,1 space,"$214,900", 1, 1, 1,4909-N-Wolcott-Ave-APT-2A-Chicago-IL-60640,https://www.zillow.com/homedetails/4909-N-Wolcott-Ave-APT-2A-Chicago-IL-60640/60262404_zpid/,$318/mo,,$269,,,,,
540,Condo,1969,Forced air,Central,1 space,"$109,900", 0, 1, 1,720-W-Gordon-Ter-APT-7G-Chicago-IL-60613,https://www.zillow.com/homedetails/720-W-Gordon-Ter-APT-7G-Chicago-IL-60613/3704437_zpid/,$375/month,,$200,,,,,
541,Single Family,No Data,"Forced air, Gas",Central,No Data,"$1,600,000", 4, 4, 3,https:,https://www.zillow.com/community/peoria-green/2079595592_zpid/,,No Data,"$1,600,000", 1,,,,
542,Single Family,1960,Forced air,Central,2 spaces,"$389,000", 4, 2, 2,5131-N-Lotus-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/5131-N-Lotus-Ave-Chicago-IL-60630/3637345_zpid/,None,"3,123 sqft",$389,,,,,
543,Condo,1966,"Baseboard, Gas",No Data,1 space,"$184,000", 2, 1, 1,7565-W-Pratt-Ave-APT-3-Chicago-IL-60631,https://www.zillow.com/homedetails/7565-W-Pratt-Ave-APT-3-Chicago-IL-60631/3512271_zpid/,$230/mo,,$153,,,,,
544,Condo,1957,No Data,No Data,1 space,"$145,000", 0, 1, 1,253-E-Delaware-Pl-APT-10B-Chicago-IL-60611,https://www.zillow.com/homedetails/253-E-Delaware-Pl-APT-10B-Chicago-IL-60611/3851086_zpid/,$437/month,,$242,,,,,
545,Single Family,1900,"Baseboard, Forced air",Central,2 spaces,"$859,000", 4, 3, 3,1626-N-Bell-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/1626-N-Bell-Ave-Chicago-IL-60647/3733664_zpid/,None,"3,123 sqft",$344,,,,,
546,Condo,2007,Forced air,Central,Attached Garage,"$359,000", 2, 2, 2,1720-S-Michigan-Ave-APT-2410-Chicago-IL-60616,https://www.zillow.com/homedetails/1720-S-Michigan-Ave-APT-2410-Chicago-IL-60616/89929522_zpid/,$494/month,,$326,,,,,
547,Condo,2006,Gas,Central,1 space,"$399,000", 3, 2, 2,1920-N-Springfield-Ave-APT-4S-Chicago-IL-60647,https://www.zillow.com/homedetails/1920-N-Springfield-Ave-APT-4S-Chicago-IL-60647/101218765_zpid/,$382/mo,,$235,,,,,
548,Condo,2006,Forced air,Central,1 space,"$649,900", 3, 3, 2,1446-N-Wood-St-APT-1S-Chicago-IL-60622,https://www.zillow.com/homedetails/1446-N-Wood-St-APT-1S-Chicago-IL-60622/87725496_zpid/,$234/month,,$271, 1,,,,
549,Condo,2005,"Forced air, Gas",Central,1 space,"$275,000", 1, 1, 1,1250-S-Michigan-Ave-APT-1403-Chicago-IL-60605,https://www.zillow.com/homedetails/1250-S-Michigan-Ave-APT-1403-Chicago-IL-60605/80817204_zpid/,$451/mo,,$344,,,,,
550,Condo,2000,Gas,Central,1 space,"$274,900", 1, 1, 1,1430-S-Michigan-Ave-PENTHOUSE-4-Chicago-IL-60605,https://www.zillow.com/homedetails/1430-S-Michigan-Ave-PENTHOUSE-4-Chicago-IL-60605/2077686321_zpid/,$327/month,,No Data,,,,,
551,Condo,No Data,"Electric, Gas",Central,1 space,"$899,000", 3, 2, 2,1414-W-Division-St-3-Chicago-IL-60642,https://www.zillow.com/homedetails/1414-W-Division-St-3-Chicago-IL-60642/2077687071_zpid/,$252/mo,,,,,,,
552,Townhouse,1998,Forced air,Central,2 spaces,"$525,000", 4, 2, 2,1812-S-State-St-UNIT-12C-Chicago-IL-60616,https://www.zillow.com/homedetails/1812-S-State-St-UNIT-12C-Chicago-IL-60616/54539769_zpid/,$368/month,0.86 acres,$239,,,,,
553,Condo,2006,Forced air,Central,1 space,"$185,000", 1, 1, 1,2231-W-Maypole-Ave-UNIT-102-Chicago-IL-60612,https://www.zillow.com/homedetails/2231-W-Maypole-Ave-UNIT-102-Chicago-IL-60612/121067648_zpid/,$264/month,,$179,,,,,
554,Multi Family,1908,No Data,No Data,2 spaces,"$40,000", 4, 2, 2,1038-W-103rd-St-Chicago-IL-60643,https://www.zillow.com/homedetails/1038-W-103rd-St-Chicago-IL-60643/2077687447_zpid/,,,No Data,,,,,
555,Condo,1914,Forced air,Central,1 space,"$415,000", 3, 2, 2,4429-N-Beacon-St-1N-Chicago-IL-60640,https://www.zillow.com/homedetails/4429-N-Beacon-St-1N-Chicago-IL-60640/3705693_zpid/,$265/month,,$231,,,,,
556,Condo,1961,"Forced air, Gas",Wall,1 space,"$139,900", 1, 1, 1,5740-N-Sheridan-Rd-APT-10B-Chicago-IL-60660,https://www.zillow.com/homedetails/5740-N-Sheridan-Rd-APT-10B-Chicago-IL-60660/3694416_zpid/,$609/mo,,$147,,,,,
557,Multi Family,1900,Gas,No Data,4 spaces,"$89,900", 4, 2, 2,6942-S-Harvard-Ave-Chicago-IL-60621,https://www.zillow.com/homedetails/6942-S-Harvard-Ave-Chicago-IL-60621/2088810826_zpid/,,,No Data,,,,,
558,Single Family,1885,Gas,No Data,None,"$359,000", 6, 5, 5,4446-S-Prairie-Ave-Chicago-IL-60653,https://www.zillow.com/homedetails/4446-S-Prairie-Ave-Chicago-IL-60653/2077689427_zpid/,None,"2,700 sqft",$80,,,,,
559,Condo,1913,"Forced air, Gas",Central,No Data,"$270,000", 3, 2, 2,3019-W-Cullom-Ave-1-Chicago-IL-60618,https://www.zillow.com/homedetails/3019-W-Cullom-Ave-1-Chicago-IL-60618/65557857_zpid/,$327/mo,,$245,,,,,
560,Single Family,1927,No Data,No Data,2 spaces,"$385,000", 4, 3, 3,5537-N-Saint-Louis-Ave-Chicago-IL-60625,https://www.zillow.com/homedetails/5537-N-Saint-Louis-Ave-Chicago-IL-60625/3639845_zpid/,,"3,702 sqft",$297,,,,,
561,Condo,1970,Gas,No Data,1 space,"$108,000", 2, 1, 1,3816-W-47th-St-APT-1M-Chicago-IL-60632,https://www.zillow.com/homedetails/3816-W-47th-St-APT-1M-Chicago-IL-60632/2077689454_zpid/,$265/month,,$108,,,,,
562,Single Family,1951,Gas,No Data,2 spaces,"$65,900", 2, 1, 1,12739-S-Sangamon-St-Chicago-IL-60643,https://www.zillow.com/homedetails/12739-S-Sangamon-St-Chicago-IL-60643/4163789_zpid/,,"4,305 sqft",$61,,,,,
563,Single Family,1918,Gas,No Data,2 spaces,"$324,500", 4, 1, 1,5519-W-Giddings-St-Chicago-IL-60630,https://www.zillow.com/homedetails/5519-W-Giddings-St-Chicago-IL-60630/3648088_zpid/,,"4,125 sqft",$240,,,,,
564,Multiple Occupancy,1927,Gas,No Data,2 spaces,"$410,000", 5, 3, 3,2453-N-Tripp-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/2453-N-Tripp-Ave-Chicago-IL-60639/2121096699_zpid/,,,,,,,,
565,Single Family,2005,Forced air,Central,2 spaces,"$548,000", 4, 4, 3,426-W-42nd-Pl-Chicago-IL-60609,https://www.zillow.com/homedetails/426-W-42nd-Pl-Chicago-IL-60609/87717250_zpid/,None,"4,743 sqft",$171, 1,,,,
566,Condo,2018,Forced air,Central,2 spaces,"$650,000", 3, 3, 2,1310-N-Cleveland-Ave-1N-Chicago-IL-60610,https://www.zillow.com/homedetails/1310-N-Cleveland-Ave-1N-Chicago-IL-60610/2077689467_zpid/,$280/month,,No Data, 1,,,,
567,Single Family,1957,Forced air,No Data,2 spaces,"$279,999", 4, 2, 2,3930-W-67th-Pl-Chicago-IL-60629,https://www.zillow.com/homedetails/3930-W-67th-Pl-Chicago-IL-60629/3953874_zpid/,,"4,125 sqft",$131,,,,,
568,Single Family,1968,Gas,Central,2 spaces,"$69,900", 3, 1, 1,Chicago-IL-60643,https://www.zillow.com/homedetails/Chicago-IL-60643/2122633099_zpid/,None,"3,123 sqft",$76,,,,,
569,Single Family,1947,Forced air,Central,1 space,"$224,900", 4, 2, 2,7131-S-Homan-Ave-Chicago-IL-60629,https://www.zillow.com/homedetails/7131-S-Homan-Ave-Chicago-IL-60629/3958648_zpid/,,"3,781 sqft",$150,,,,,
570,Single Family,2012,Forced air,Central,2 spaces,"$1,200,000", 6, 5, 4,3942-N-Lowell-Ave-Chicago-IL-60641,https://www.zillow.com/homedetails/3942-N-Lowell-Ave-Chicago-IL-60641/3664945_zpid/,None,"7,200 sqft",$207, 1,,,,
571,Multiple Occupancy,1913,Gas,No Data,2 spaces,"$149,000", 7, 3, 3,167-N-Lavergne-Ave-Chicago-IL-60644,https://www.zillow.com/homedetails/167-N-Lavergne-Ave-Chicago-IL-60644/2082087690_zpid/,,,$60,,,,,
572,Single Family,1925,"Forced air, Gas",Central,7 spaces,"$274,900", 3, 2, 2,3020-N-Odell-Ave-Chicago-IL-60707,https://www.zillow.com/homedetails/3020-N-Odell-Ave-Chicago-IL-60707/3601668_zpid/,,"6,650 sqft",$155,,,,,
573,Condo,No Data,"Forced air, Other, Geothermal",Other,82 spaces,"$295,955", 1, 1,,1500-W-Monroe-St-UNIT-511-Chicago-IL-60607,https://www.zillow.com/homedetails/1500-W-Monroe-St-UNIT-511-Chicago-IL-60607/2090634290_zpid/,$295/mo,,$296,,,,,
574,Single Family,1951,"Forced air, Gas",Central,2 spaces,"$239,900", 3, 3, 2,1533-E-83rd-St-Chicago-IL-60619,https://www.zillow.com/homedetails/1533-E-83rd-St-Chicago-IL-60619/4021774_zpid/,,"3,746 sqft",$131, 1,,,,
575,Condo,1971,No Data,Central,2 spaces,"$165,000", 1, 1, 1,5445-N-Sheridan-Rd-APT-1004-Chicago-IL-60640,https://www.zillow.com/homedetails/5445-N-Sheridan-Rd-APT-1004-Chicago-IL-60640/3699214_zpid/,$466/mo,,$194,,,,,
576,Single Family,1921,Forced air,Central,3 spaces,"$359,900", 4, 2, 2,2310-W-111th-Pl-Chicago-IL-60643,https://www.zillow.com/homedetails/2310-W-111th-Pl-Chicago-IL-60643/4147914_zpid/,,"6,599 sqft",$173,,,,,
577,Condo,1945,Gas,Central,2 spaces,"$509,000", 2, 2, 2,2804-N-Lakewood-Ave-APT-105-Chicago-IL-60657,https://www.zillow.com/homedetails/2804-N-Lakewood-Ave-APT-105-Chicago-IL-60657/3727858_zpid/,$276/mo,,$318,,,,,
578,Condo,2020,Gas,Central,1 space,"$499,900", 4, 3, 3,4041-N-Elston-Ave-1-Chicago-IL-60618,https://www.zillow.com/homedetails/4041-N-Elston-Ave-1-Chicago-IL-60618/2077693878_zpid/,$260/mo,,$151,,,,,
579,Condo,2020,Gas,Central,1 space,"$399,900", 3, 2, 2,4033-N-Elston-Ave-2-Chicago-IL-60618,https://www.zillow.com/homedetails/4033-N-Elston-Ave-2-Chicago-IL-60618/2077693931_zpid/,$159/month,,$216,,,,,
580,Condo,2020,Forced air,Central,1 space,"$525,000", 2, 2, 2,2422-W-Iowa-St-3-Chicago-IL-60622,https://www.zillow.com/homedetails/2422-W-Iowa-St-3-Chicago-IL-60622/2077694021_zpid/,$169/month,,No Data,,,,,
581,Condo,1950,No Data,No Data,None,"$225,000", 2, 2, 2,4900-N-Marine-Dr-APT-703-Chicago-IL-60640,https://www.zillow.com/homedetails/4900-N-Marine-Dr-APT-703-Chicago-IL-60640/3702154_zpid/,$698/month,,No Data,,,,,
582,Condo,1893,Other,Wall,None,"$209,000", 1, 1, 1,2800-N-Pine-Grove-Ave-UNIT-2H-Chicago-IL-60657,https://www.zillow.com/homedetails/2800-N-Pine-Grove-Ave-UNIT-2H-Chicago-IL-60657/3721462_zpid/,$271/month,,$261,,,,,
583,Condo,2020,Gas,Central,1 space,"$419,900", 3, 2, 2,4033-N-Elston-Ave-3-Chicago-IL-60618,https://www.zillow.com/homedetails/4033-N-Elston-Ave-3-Chicago-IL-60618/2077694117_zpid/,$159/mo,,$227,,,,,
584,Single Family,1944,"Forced air, Gas",Central,2 spaces,"$299,900", 2, 2, 2,7763-W-Rosedale-Ave-Chicago-IL-60631,https://www.zillow.com/homedetails/7763-W-Rosedale-Ave-Chicago-IL-60631/3576544_zpid/,,"4,530 sqft",$300,,,,,
585,Condo,1966,Gas,No Data,1 space,"$134,900", 1, 1, 1,5440-W-Windsor-Ave-APT-3E-Chicago-IL-60630,https://www.zillow.com/homedetails/5440-W-Windsor-Ave-APT-3E-Chicago-IL-60630/3648335_zpid/,$231/mo,,$163,,,,,
586,Condo,1963,No Data,Central,2 spaces,"$399,900", 2, 2, 2,3150-N-Lake-Shore-Dr-APT-15E-Chicago-IL-60657,https://www.zillow.com/homedetails/3150-N-Lake-Shore-Dr-APT-15E-Chicago-IL-60657/3721808_zpid/,"$1,033/mo",,$242,,,,,
587,Single Family,1956,"Forced air, Gas",Central,2 spaces,"$264,900", 4, 2, 2,9343-S-Yates-Blvd-Chicago-IL-60617,https://www.zillow.com/homedetails/9343-S-Yates-Blvd-Chicago-IL-60617/4167255_zpid/,,"4,373 sqft",$212,,,,,
588,Single Family,1900,Gas,No Data,2 spaces,"$99,000", 3, 1, 1,2251-S-Kostner-Ave-Chicago-IL-60623,https://www.zillow.com/homedetails/2251-S-Kostner-Ave-Chicago-IL-60623/2077694348_zpid/,,"4,011 sqft",$141,,,,,
589,Condo,1990,"Other, Electric",Central,1 space,"$424,000", 2, 2, 2,195-N-Harbor-Dr-APT-401-Chicago-IL-60601,https://www.zillow.com/homedetails/195-N-Harbor-Dr-APT-401-Chicago-IL-60601/3870719_zpid/,$825/mo,,$361,,,,,
590,Single Family,1960,No Data,No Data,2 spaces,"$280,000", 5, 2, 1,6044-W-63rd-Pl-Chicago-IL-60638,https://www.zillow.com/homedetails/6044-W-63rd-Pl-Chicago-IL-60638/3947929_zpid/,,"3,510 sqft",$254, 1,,,,
591,Townhouse,1997,"Forced air, Other",Central,2 spaces,"$349,900", 3, 3, 3,4658-S-Ellis-Ave-Chicago-IL-60653,https://www.zillow.com/homedetails/4658-S-Ellis-Ave-Chicago-IL-60653/60272377_zpid/,None,435 sqft,$188,,,,,
592,Multi Family,1921,Gas,No Data,2 spaces,"$264,000", 4, 2, 2,5010-S-Fairfield-Ave-Chicago-IL-60632,https://www.zillow.com/homedetails/5010-S-Fairfield-Ave-Chicago-IL-60632/2143438343_zpid/,,,No Data,,,,,
593,Condo,1970,Baseboard,No Data,1 space,"$175,000", 2, 1, 1,6482-N-Northwest-Hwy-APT-205-Chicago-IL-60631,https://www.zillow.com/homedetails/6482-N-Northwest-Hwy-APT-205-Chicago-IL-60631/3513004_zpid/,$275/month,,$167,,,,,
594,Condo,2012,"Forced air, Gas",Central,1 space,"$499,000", 2, 2, 2,2032-N-Burling-St-2-Chicago-IL-60614,https://www.zillow.com/homedetails/2032-N-Burling-St-2-Chicago-IL-60614/65550463_zpid/,$169/mo,,$312,,,,,
