,Type,Year built,Heating,Cooling,Parking,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,HOA,Lot,Price/sqft,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
235,Condo,No Data,Forced air,Central,None,"$167,900", 2, 2, 2,3849-W-Ainslie-St-2-Chicago-IL-60625,https://www.zillow.com/homedetails/3849-W-Ainslie-St-2-Chicago-IL-60625/2078631264_zpid/,$155/month,,$168,,,,,
236,Condo,1968,Other,Central,1 space,"$299,000", 2, 2, 2,1700-E-56th-St-APT-1608-Chicago-IL-60637,https://www.zillow.com/homedetails/1700-E-56th-St-APT-1608-Chicago-IL-60637/3988940_zpid/,"$1,048/month",,$239,,,,,
237,Single Family,1951,"Forced air, Gas",Central,2 spaces,"$350,000", 5, 2, 2,3819-N-Neva-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/3819-N-Neva-Ave-Chicago-IL-60634/3655584_zpid/,,"4,225 sqft",$231,,,,,
238,Multiple Occupancy,1905,Gas,No Data,2 spaces,"$430,000", 9, 5, 5,3043-W-38th-Pl-Chicago-IL-60632,https://www.zillow.com/homedetails/3043-W-38th-Pl-Chicago-IL-60632/2077655422_zpid/,,,,,,,,
239,Multi Family,1941,Forced air,No Data,2 spaces,"$196,900", 6, 2, 2,9514-S-La-Salle-St-Chicago-IL-60628,https://www.zillow.com/homedetails/9514-S-La-Salle-St-Chicago-IL-60628/2136998751_zpid/,,,No Data,,,,,
240,Single Family,1948,"Forced air, Gas",Central,2 spaces,"$389,000", 3, 3, 2,6218-N-Lowell-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/6218-N-Lowell-Ave-Chicago-IL-60646/3622394_zpid/,,"4,007 sqft",$185, 1,,,,
241,Condo,1900,Forced air,Central,None,"$169,900", 1, 1, 1,827-W-Lawrence-Ave-APT-2S-Chicago-IL-60640,https://www.zillow.com/homedetails/827-W-Lawrence-Ave-APT-2S-Chicago-IL-60640/62002698_zpid/,$215/month,,$227,,,,,
242,Single Family,1966,Gas,Central,2 spaces,"$199,000", 4, 2, 2,8919-S-Halsted-St-Chicago-IL-60620,https://www.zillow.com/homedetails/8919-S-Halsted-St-Chicago-IL-60620/4118449_zpid/,None,"2,744 sqft",$20,,,,,
243,Single Family,1961,Forced air,Central,None,"$235,000", 5, 2, 2,5129-S-Homan-Ave-Chicago-IL-60632,https://www.zillow.com/homedetails/5129-S-Homan-Ave-Chicago-IL-60632/3928656_zpid/,None,"3,149 sqft",$230,,,,,
244,Condo,2008,Gas,Central,1 space,"$275,000", 1, 1, 1,1400-S-Michigan-Ave-APT-1607-Chicago-IL-60605,https://www.zillow.com/homedetails/1400-S-Michigan-Ave-APT-1607-Chicago-IL-60605/2090431189_zpid/,$403/mo,,$366,,,,,
245,Single Family,1920,Forced air,Central,2 spaces,"$209,900", 4, 3, 3,738-E-88th-Pl-Chicago-IL-60619,https://www.zillow.com/homedetails/738-E-88th-Pl-Chicago-IL-60619/4116097_zpid/,,"4,617 sqft",$178,,,,,
246,Single Family,1879,Forced air,No Data,1 space,"$170,000", 5, 2, 2,7118-S-Sangamon-St-Chicago-IL-60621,https://www.zillow.com/homedetails/7118-S-Sangamon-St-Chicago-IL-60621/4008259_zpid/,,"3,125 sqft",$131,,,,,
247,Single Family,1922,Forced air,Central,2 spaces,"$599,000", 6, 3, 3,5123-N-Kostner-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/5123-N-Kostner-Ave-Chicago-IL-60630/3639146_zpid/,None,"3,811 sqft",$189,,,,,
248,Condo,1963,Forced air,Central,1 space,"$339,900", 2, 2, 2,3150-N-Lake-Shore-Dr-APT-17D-Chicago-IL-60657,https://www.zillow.com/homedetails/3150-N-Lake-Shore-Dr-APT-17D-Chicago-IL-60657/3721819_zpid/,"$1,040/month",,$206,,,,,
249,Condo,1919,Forced air,Central,1 space,"$424,900", 2, 2, 2,360-W-Illinois-St-APT-107-Chicago-IL-60654,https://www.zillow.com/homedetails/360-W-Illinois-St-APT-107-Chicago-IL-60654/60268358_zpid/,$622/month,,$319,,,,,
250,Single Family,1944,"Forced air, Gas",Central,2 spaces,"$249,900", 4, 2, 2,7932-S-Perry-Ave-Chicago-IL-60620,https://www.zillow.com/homedetails/7932-S-Perry-Ave-Chicago-IL-60620/4016949_zpid/,,"3,702 sqft",$147,,,,,
251,Multiple Occupancy,1880,"Forced air, Gas",No Data,2 spaces,"$775,000", 7, 3, 3,2453-W-Diversey-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/2453-W-Diversey-Ave-Chicago-IL-60647/2090380911_zpid/,,,,,,,,
252,Multi Family,1898,Gas,No Data,2 spaces,"$54,900", 6, 2, 2,8316-S-Muskegon-Ave-Chicago-IL-60617,https://www.zillow.com/homedetails/8316-S-Muskegon-Ave-Chicago-IL-60617/2077657443_zpid/,,,No Data,,,,,
253,Multiple Occupancy,No Data,"Forced air, Gas",Central,1 space,"$1,650,900", 4, 4, 3,https:,https://www.zillow.com/community/ca6-condos/2079055031_zpid/,,,$523, 1,,,,
