,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,City,Lot Temp,sqft
324,Multiple Occupancy,1914.0,"Forced air, Gas",Central,2 spaces,644500.0,,644500.0,8,5.0,5.0,5030-W-Hutchinson-St-Chicago-IL-60641,https://www.zillow.com/homedetails/5030-W-Hutchinson-St-Chicago-IL-60641/2146987904_zpid/,,0,Chicago,,
325,Condo,1914.0,Gas,None,1 space,275000.0,196.0,275000.0,2,1.0,1.0,6435-N-Newgard-Ave-1-N-Chicago-IL-60626,https://www.zillow.com/homedetails/6435-N-Newgard-Ave-1-N-Chicago-IL-60626/2077659871_zpid/,,0,Chicago,,1403.061224489796
326,Condo,1955.0,Forced air,Central,2 spaces,265000.0,411.0,265000.0,0,1.0,1.0,900-N-Lake-Shore-Dr-APT-811-Chicago-IL-60611,https://www.zillow.com/homedetails/900-N-Lake-Shore-Dr-APT-811-Chicago-IL-60611/3849447_zpid/,,0,Chicago,,644.7688564476886
327,Single Family,2007.0,"Forced air, Gas",Central,4 spaces,2950000.0,476.0,2950000.0,6,6.0,5.0,1464-W-Byron-St-Chicago-IL-60613,https://www.zillow.com/homedetails/1464-W-Byron-St-Chicago-IL-60613/3710859_zpid/,3750.0,1,Chicago,"['3,750', 'sqft']",6197.4789915966385
328,Condo,1955.0,Forced air,Central,1 space,264500.0,315.0,264500.0,1,1.0,1.0,910-N-Lake-Shore-Dr-APT-2016-Chicago-IL-60610,https://www.zillow.com/homedetails/910-N-Lake-Shore-Dr-APT-2016-Chicago-IL-60610/2077660302_zpid/,,0,Chicago,,839.6825396825396
329,Single Family,1974.0,Gas,Central,2 spaces,379000.0,316.0,379000.0,3,1.0,1.0,3615-S-Wallace-St-Chicago-IL-60609,https://www.zillow.com/homedetails/3615-S-Wallace-St-Chicago-IL-60609/3881931_zpid/,3123.0,0,Chicago,"['3,123', 'sqft']",1199.367088607595
330,Condo,1969.0,Baseboard,Central,1 space,205000.0,342.0,205000.0,0,1.0,1.0,2800-N-Lake-Shore-Dr-APT-1709-Chicago-IL-60657,https://www.zillow.com/homedetails/2800-N-Lake-Shore-Dr-APT-1709-Chicago-IL-60657/3723529_zpid/,,0,Chicago,,599.4152046783626
331,Condo,1973.0,,None,,289900.0,,289900.0,1,1.0,1.0,71-E-Division-St-APT-1102-Chicago-IL-60610,https://www.zillow.com/homedetails/71-E-Division-St-APT-1102-Chicago-IL-60610/3846232_zpid/,,0,Chicago,,
332,Single Family,2018.0,Forced air,Central,2 spaces,649000.0,240.0,649000.0,4,4.0,3.0,3350-N-Kilbourn-Ave-Chicago-IL-60641,https://www.zillow.com/homedetails/3350-N-Kilbourn-Ave-Chicago-IL-60641/306332407_zpid/,3199.0,1,Chicago,"['3,199', 'sqft']",2704.1666666666665
333,Condo,2007.0,"Forced air, Gas",Central,1 space,1120000.0,605.0,1120000.0,2,2.0,2.0,600-N-Fairbanks-Ct-UNIT-3510-Chicago-IL-60611,https://www.zillow.com/homedetails/600-N-Fairbanks-Ct-UNIT-3510-Chicago-IL-60611/89887943_zpid/,,0,Chicago,,1851.2396694214876
